               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11117,            0.048101,            0.051921,           0.0017218,             0.15524,           0.0012333,          0.00047461,            0.098758,            0.036987,            0.051895,              0.0991,              0.0001,              0.0001
                   1,             0.11167,            0.041852,            0.055015,           0.0019947,             0.22381,           0.0014813,          0.00049831,            0.097916,            0.036835,            0.051788,            0.097299,          0.00029881,          0.00029881
                   2,             0.10988,            0.050816,            0.054217,           0.0014307,             0.21016,           0.0012929,          0.00032594,            0.096475,            0.036819,            0.051498,            0.095496,          0.00049604,          0.00049604
                   3,             0.10921,            0.044987,             0.05308,           0.0034035,              0.3746,           0.0030216,          0.00077865,            0.093915,            0.034946,            0.050858,            0.093692,          0.00069168,          0.00069168
                   4,             0.10322,            0.051575,            0.051953,           0.0035101,              0.3746,           0.0030289,          0.00068674,            0.090936,             0.03495,            0.050613,            0.091886,          0.00088574,          0.00088574
                   5,             0.10469,             0.04828,            0.051779,           0.0024578,              0.3019,           0.0021096,          0.00044041,            0.087559,            0.035145,            0.050171,            0.090078,           0.0010782,           0.0010782
                   6,             0.10399,            0.052707,            0.051098,           0.0016804,             0.27079,           0.0015327,          0.00031236,            0.084732,            0.035061,            0.049728,            0.088269,           0.0012691,           0.0012691
                   7,             0.10204,            0.049777,            0.051918,           0.0018049,             0.26825,           0.0014607,          0.00040581,            0.083772,            0.034836,            0.049622,            0.086458,           0.0014584,           0.0014584
                   8,            0.098587,            0.050035,            0.050629,           0.0019916,             0.25937,           0.0017223,          0.00043248,            0.082173,            0.034603,            0.049683,            0.084646,           0.0016461,           0.0016461
                   9,            0.093783,            0.049094,            0.050745,           0.0022274,             0.27937,           0.0076518,             0.00103,            0.080816,            0.034405,             0.04953,            0.082832,           0.0018323,           0.0018323
                  10,            0.099611,            0.062757,            0.050073,           0.0038239,             0.46571,           0.0040437,          0.00086275,            0.080324,            0.033836,            0.049683,            0.081017,           0.0020168,           0.0020168
                  11,            0.096969,            0.049435,            0.050077,           0.0034048,             0.46317,             0.02826,           0.0060702,            0.080873,            0.033199,            0.049927,              0.0792,           0.0021998,           0.0021998
                  12,            0.098173,            0.049675,            0.050495,           0.0043932,             0.60317,           0.0065913,           0.0018949,            0.078973,            0.033073,            0.049789,            0.077381,           0.0023812,           0.0023812
                  13,            0.088576,            0.059101,            0.050141,           0.0046572,             0.64762,            0.030597,           0.0044566,            0.076349,             0.03326,            0.049576,            0.075561,            0.002561,            0.002561
                  14,            0.092129,            0.053069,            0.049889,             0.00482,             0.68762,            0.025962,           0.0082956,            0.075029,            0.033119,            0.049316,            0.073739,           0.0027392,           0.0027392
                  15,            0.086965,             0.05505,            0.048598,           0.0053233,             0.78032,            0.019774,           0.0059248,            0.074201,            0.032318,            0.049561,            0.071916,           0.0029159,           0.0029159
                  16,            0.089553,            0.058808,            0.048259,           0.0056342,             0.78032,            0.019308,           0.0067542,            0.073527,            0.033424,            0.049667,            0.070091,           0.0030909,           0.0030909
                  17,            0.089887,            0.040626,            0.051526,           0.0050405,             0.62286,            0.031882,            0.010109,            0.073852,            0.033978,            0.049652,            0.068264,           0.0032644,           0.0032644
                  18,            0.091003,            0.048868,            0.049797,              0.0054,             0.78921,            0.043487,            0.010482,            0.072376,            0.033142,            0.049591,            0.066436,           0.0034363,           0.0034363
                  19,            0.078593,            0.056581,            0.048253,           0.0051123,             0.80254,            0.056378,            0.015187,            0.070278,            0.032135,            0.049393,            0.064607,           0.0036066,           0.0036066
                  20,            0.079975,            0.062139,            0.047371,           0.0050404,             0.80254,            0.064409,            0.017696,            0.069781,            0.031551,            0.048973,            0.062775,           0.0037753,           0.0037753
                  21,            0.074193,            0.049115,            0.047241,           0.0076105,             0.80254,            0.085481,            0.022526,            0.066226,            0.031609,            0.048492,            0.060942,           0.0039424,           0.0039424
                  22,            0.075281,            0.057991,            0.047192,            0.020585,             0.70476,            0.074878,             0.02306,             0.06399,             0.03186,             0.04792,            0.059108,            0.004108,            0.004108
                  23,            0.079246,            0.059963,            0.046653,              0.1046,             0.21746,            0.080755,            0.023334,            0.062574,            0.031731,            0.047798,            0.057272,           0.0042719,           0.0042719
                  24,            0.076232,            0.054704,            0.045946,            0.084488,              0.3127,            0.083505,            0.024212,            0.063553,            0.031174,            0.047363,            0.055434,           0.0044343,           0.0044343
                  25,             0.07211,            0.055921,            0.046529,             0.21826,             0.13333,            0.081746,            0.034092,            0.064235,            0.030952,            0.047073,            0.053595,           0.0045951,           0.0045951
                  26,            0.076702,            0.037098,            0.049087,            0.004177,             0.67397,           0.0098511,           0.0015443,            0.069793,             0.02964,            0.046982,            0.051754,           0.0047543,           0.0047543
                  27,            0.075528,             0.05304,            0.045006,            0.004177,             0.67397,           0.0098511,           0.0015443,            0.069793,             0.02964,            0.046982,            0.049912,           0.0049119,           0.0049119
                  28,            0.073898,            0.052983,            0.045515,             0.23621,             0.22222,             0.11189,            0.049147,            0.063993,            0.030533,            0.046341,            0.048068,            0.005068,            0.005068
                  29,            0.073628,            0.053541,            0.046928,            0.033008,              0.3946,            0.032783,           0.0065557,            0.072378,             0.03067,            0.046387,            0.046222,           0.0052224,           0.0052224
                  30,            0.076331,            0.059478,            0.044633,            0.033008,              0.3946,            0.032783,           0.0065557,            0.072378,             0.03067,            0.046387,            0.044375,           0.0053753,           0.0053753
                  31,            0.071713,            0.053815,            0.045182,             0.23863,             0.26222,            0.093061,            0.036544,            0.069706,            0.031624,            0.046242,            0.042527,           0.0055266,           0.0055266
                  32,            0.069554,            0.047711,            0.045637,             0.86343,            0.066667,            0.068893,            0.034136,            0.073168,            0.032242,            0.046326,            0.040676,           0.0056763,           0.0056763
                  33,            0.072536,            0.037337,            0.046525,             0.86343,            0.066667,            0.068893,            0.034136,            0.073168,            0.032242,            0.046326,            0.038824,           0.0058244,           0.0058244
                  34,            0.077504,             0.04339,            0.045576,               0.241,             0.12942,            0.097002,            0.031577,            0.064127,             0.03376,            0.046181,            0.036971,            0.005971,            0.005971
                  35,            0.069015,              0.0566,            0.046283,             0.23391,             0.10889,            0.086663,            0.023939,            0.068666,            0.033516,            0.046135,            0.035116,           0.0061159,           0.0061159
                  36,            0.072755,            0.053304,            0.044672,             0.23391,             0.10889,            0.086663,            0.023939,            0.068666,            0.033516,            0.046135,            0.033259,           0.0062593,           0.0062593
                  37,            0.072485,            0.054149,            0.045861,             0.23191,             0.12889,             0.07266,            0.020355,            0.068289,            0.032356,            0.045906,            0.031401,           0.0064011,           0.0064011
                  38,            0.068327,            0.052374,            0.044729,             0.23987,             0.10889,            0.059938,            0.020806,            0.077282,             0.02832,            0.045349,            0.029541,           0.0065413,           0.0065413
                  39,            0.077997,            0.046358,            0.045481,             0.23987,             0.10889,            0.059938,            0.020806,            0.077282,             0.02832,            0.045349,             0.02768,           0.0066799,           0.0066799
                  40,             0.07116,            0.047383,            0.044051,              0.2293,             0.13333,            0.082021,            0.031437,            0.069615,            0.029991,            0.044884,            0.025817,            0.006817,            0.006817
                  41,            0.070552,            0.051199,            0.044296,             0.22382,             0.27302,            0.072263,             0.02399,            0.071536,            0.032631,            0.045158,            0.023952,           0.0069524,           0.0069524
                  42,            0.071717,            0.040602,            0.043611,             0.22382,             0.27302,            0.072263,             0.02399,            0.071536,            0.032631,            0.045158,            0.022086,           0.0070863,           0.0070863
                  43,            0.079918,            0.047409,            0.044016,             0.01268,             0.39746,            0.022088,           0.0059257,            0.078374,            0.031738,            0.044724,            0.020219,           0.0072186,           0.0072186
                  44,            0.072455,            0.052604,            0.044339,             0.01268,             0.39746,            0.022088,           0.0059257,            0.078374,            0.031738,            0.044724,            0.018349,           0.0073493,           0.0073493
                  45,            0.072634,            0.044935,            0.043433,             0.27944,             0.29302,              0.1451,            0.039733,            0.068161,            0.030304,             0.04422,            0.016478,           0.0074784,           0.0074784
                  46,            0.071427,            0.037025,            0.042502,             0.27944,             0.29302,              0.1451,            0.039733,            0.068161,            0.030304,             0.04422,            0.014606,           0.0076059,           0.0076059
                  47,            0.071247,            0.036476,            0.044928,              0.3353,             0.27714,             0.16922,            0.055011,            0.072484,            0.025833,            0.043915,            0.012732,           0.0077319,           0.0077319
                  48,            0.074037,            0.054228,            0.043413,              0.3353,             0.27714,             0.16922,            0.055011,            0.072484,            0.025833,            0.043915,            0.010856,           0.0078562,           0.0078562
                  49,            0.071618,            0.038921,             0.04412,              0.2777,             0.22857,             0.10817,            0.038649,            0.068363,            0.023335,            0.042786,            0.008979,            0.007979,            0.007979
                  50,            0.066768,            0.041382,            0.042266,              0.2777,             0.22857,             0.10817,            0.038649,            0.068363,            0.023335,            0.042786,             0.00802,             0.00802,             0.00802
                  51,            0.068891,            0.036169,            0.043113,              0.3089,             0.31476,             0.16365,            0.058396,            0.071276,            0.021751,            0.042328,             0.00802,             0.00802,             0.00802
                  52,            0.071896,            0.035978,            0.041818,              0.3089,             0.31476,             0.16365,            0.058396,            0.071276,            0.021751,            0.042328,           0.0079804,           0.0079804,           0.0079804
                  53,            0.078119,            0.035656,            0.042681,             0.31855,             0.32891,             0.12901,            0.054221,            0.064449,            0.022598,            0.041283,           0.0079408,           0.0079408,           0.0079408
                  54,            0.061412,            0.049759,            0.041569,             0.31855,             0.32891,             0.12901,            0.054221,            0.064449,            0.022598,            0.041283,           0.0079012,           0.0079012,           0.0079012
                  55,            0.065249,            0.060169,            0.042337,             0.31601,             0.25079,              0.1168,            0.049152,            0.060642,            0.024197,            0.041153,           0.0078616,           0.0078616,           0.0078616
                  56,            0.066574,            0.040242,            0.042862,             0.31601,             0.25079,              0.1168,            0.049152,            0.060642,            0.024197,            0.041153,            0.007822,            0.007822,            0.007822
                  57,            0.063593,            0.050371,            0.042812,             0.59305,             0.20635,              0.1293,            0.042388,             0.05935,            0.023163,            0.040718,           0.0077824,           0.0077824,           0.0077824
                  58,            0.064297,            0.042211,            0.041512,             0.59305,             0.20635,              0.1293,            0.042388,             0.05935,            0.023163,            0.040718,           0.0077428,           0.0077428,           0.0077428
                  59,            0.062417,            0.051825,            0.041597,             0.58471,             0.33968,             0.23635,            0.098677,            0.066466,            0.020748,            0.040398,           0.0077032,           0.0077032,           0.0077032
                  60,            0.070858,            0.037527,            0.041214,             0.58471,             0.33968,             0.23635,            0.098677,            0.066466,            0.020748,            0.040398,           0.0076636,           0.0076636,           0.0076636
                  61,            0.069541,            0.042503,            0.042119,             0.47846,              0.3619,               0.109,            0.037453,            0.059965,            0.022701,             0.04055,            0.007624,            0.007624,            0.007624
                  62,            0.060914,            0.038646,            0.042504,             0.47846,              0.3619,               0.109,            0.037453,            0.059965,            0.022701,             0.04055,           0.0075844,           0.0075844,           0.0075844
                  63,            0.063033,             0.03098,            0.041243,             0.57905,             0.29524,             0.23031,            0.067738,            0.061271,            0.021221,            0.040176,           0.0075448,           0.0075448,           0.0075448
                  64,            0.071971,            0.044438,            0.041226,             0.57905,             0.29524,             0.23031,            0.067738,            0.061271,            0.021221,            0.040176,           0.0075052,           0.0075052,           0.0075052
                  65,            0.067495,            0.035127,            0.040504,             0.54915,             0.36887,             0.21054,            0.091906,            0.061687,            0.019596,            0.040039,           0.0074656,           0.0074656,           0.0074656
                  66,            0.061744,            0.040357,            0.040115,             0.54915,             0.36887,             0.21054,            0.091906,            0.061687,            0.019596,            0.040039,            0.007426,            0.007426,            0.007426
                  67,            0.068625,            0.040043,            0.040736,             0.54247,             0.23492,             0.15461,            0.036856,            0.062701,            0.018703,            0.040222,           0.0073864,           0.0073864,           0.0073864
                  68,            0.066734,            0.044225,            0.041664,             0.54247,             0.23492,             0.15461,            0.036856,            0.062701,            0.018703,            0.040222,           0.0073468,           0.0073468,           0.0073468
                  69,            0.067465,            0.036975,            0.041321,             0.33688,             0.37659,             0.23281,             0.10413,            0.057654,            0.019108,            0.040543,           0.0073072,           0.0073072,           0.0073072
                  70,            0.053919,            0.027913,            0.041699,             0.33688,             0.37659,             0.23281,             0.10413,            0.057654,            0.019108,            0.040543,           0.0072676,           0.0072676,           0.0072676
                  71,            0.058126,            0.041777,            0.040006,             0.56831,             0.33016,             0.27786,             0.13894,            0.049165,            0.020306,            0.040245,            0.007228,            0.007228,            0.007228
                  72,              0.0486,            0.030497,             0.03948,             0.56831,             0.33016,             0.27786,             0.13894,            0.049165,            0.020306,            0.040245,           0.0071884,           0.0071884,           0.0071884
                  73,             0.05387,            0.037307,             0.04124,             0.29291,             0.62476,             0.27385,              0.1265,            0.045309,             0.01936,            0.039764,           0.0071488,           0.0071488,           0.0071488
                  74,            0.047561,            0.037462,            0.040114,             0.29291,             0.62476,             0.27385,              0.1265,            0.045309,             0.01936,            0.039764,           0.0071092,           0.0071092,           0.0071092
                  75,             0.05128,            0.033296,            0.038981,             0.63238,             0.30159,             0.32539,             0.17023,            0.051946,            0.018528,            0.038879,           0.0070696,           0.0070696,           0.0070696
                  76,             0.05352,            0.042529,            0.040957,             0.63238,             0.30159,             0.32539,             0.17023,            0.051946,            0.018528,            0.038879,             0.00703,             0.00703,             0.00703
                  77,            0.056665,            0.034355,            0.040497,             0.59102,             0.34603,             0.28023,             0.12358,            0.056227,             0.01862,            0.038963,           0.0069904,           0.0069904,           0.0069904
                  78,            0.057812,            0.042774,            0.038041,             0.59102,             0.34603,             0.28023,             0.12358,            0.056227,             0.01862,            0.038963,           0.0069508,           0.0069508,           0.0069508
                  79,            0.057743,            0.039084,            0.039309,             0.66839,             0.36825,             0.47137,             0.20367,            0.048119,            0.017418,            0.038231,           0.0069112,           0.0069112,           0.0069112
                  80,            0.063915,            0.041918,            0.038932,             0.66839,             0.36825,             0.47137,             0.20367,            0.048119,            0.017418,            0.038231,           0.0068716,           0.0068716,           0.0068716
                  81,            0.052926,            0.037573,            0.039253,             0.55566,             0.31746,             0.31061,            0.095552,            0.059179,            0.017979,            0.037727,            0.006832,            0.006832,            0.006832
                  82,            0.061749,            0.035737,            0.038335,             0.55566,             0.31746,             0.31061,            0.095552,            0.059179,            0.017979,            0.037727,           0.0067924,           0.0067924,           0.0067924
                  83,             0.05791,            0.036583,            0.037973,             0.70487,             0.34603,             0.41297,             0.21828,            0.047979,            0.016674,            0.037109,           0.0067528,           0.0067528,           0.0067528
                  84,             0.05753,            0.038683,            0.039257,             0.70487,             0.34603,             0.41297,             0.21828,            0.047979,            0.016674,            0.037109,           0.0067132,           0.0067132,           0.0067132
                  85,            0.062221,            0.035372,            0.038877,             0.29613,             0.52317,             0.37709,             0.15591,            0.049414,            0.017273,            0.036362,           0.0066736,           0.0066736,           0.0066736
                  86,            0.056753,            0.033893,            0.038185,             0.29613,             0.52317,             0.37709,             0.15591,            0.049414,            0.017273,            0.036362,            0.006634,            0.006634,            0.006634
                  87,            0.055647,            0.038913,            0.038687,             0.27065,             0.57171,             0.44434,             0.20667,            0.049808,             0.01759,            0.035843,           0.0065944,           0.0065944,           0.0065944
                  88,             0.05364,            0.033886,            0.037929,             0.27065,             0.57171,             0.44434,             0.20667,            0.049808,             0.01759,            0.035843,           0.0065548,           0.0065548,           0.0065548
                  89,            0.052605,            0.036548,            0.038541,             0.42268,             0.54063,             0.40555,             0.16038,            0.050068,            0.016987,            0.035347,           0.0065152,           0.0065152,           0.0065152
                  90,            0.053468,            0.035953,            0.036028,             0.42268,             0.54063,             0.40555,             0.16038,            0.050068,            0.016987,            0.035347,           0.0064756,           0.0064756,           0.0064756
                  91,            0.051871,            0.028271,            0.037725,             0.49216,             0.48349,             0.47218,             0.20486,            0.048619,            0.017071,            0.035118,            0.006436,            0.006436,            0.006436
                  92,            0.050834,            0.039922,            0.036719,             0.49216,             0.48349,             0.47218,             0.20486,            0.048619,            0.017071,            0.035118,           0.0063964,           0.0063964,           0.0063964
                  93,            0.054603,            0.035067,            0.037616,             0.26262,             0.63929,             0.40407,             0.16794,            0.046865,            0.016834,             0.03447,           0.0063568,           0.0063568,           0.0063568
                  94,            0.048218,            0.033906,            0.036141,             0.26262,             0.63929,             0.40407,             0.16794,            0.046865,            0.016834,             0.03447,           0.0063172,           0.0063172,           0.0063172
                  95,            0.048243,            0.032748,            0.038187,             0.68131,             0.41181,             0.46388,             0.25056,            0.051665,            0.015926,             0.03421,           0.0062776,           0.0062776,           0.0062776
                  96,            0.051206,            0.037943,            0.037045,             0.68131,             0.41181,             0.46388,             0.25056,            0.051665,            0.015926,             0.03421,            0.006238,            0.006238,            0.006238
                  97,            0.054802,            0.035313,            0.035377,              0.2314,             0.72289,             0.39566,             0.16473,            0.048214,             0.01701,            0.033997,           0.0061984,           0.0061984,           0.0061984
                  98,            0.054315,            0.029242,            0.035332,              0.2314,             0.72289,             0.39566,             0.16473,            0.048214,             0.01701,            0.033997,           0.0061588,           0.0061588,           0.0061588
                  99,            0.055823,            0.032295,            0.037592,             0.27022,              0.6673,             0.45869,             0.25363,            0.047154,            0.015347,            0.033829,           0.0061192,           0.0061192,           0.0061192
                 100,            0.048659,            0.028074,            0.036719,             0.27022,              0.6673,             0.45869,             0.25363,            0.047154,            0.015347,            0.033829,           0.0060796,           0.0060796,           0.0060796
                 101,            0.045543,            0.026601,            0.035802,              0.3051,             0.69751,             0.42251,              0.1892,            0.046394,            0.015965,             0.03373,             0.00604,             0.00604,             0.00604
                 102,            0.053926,            0.024963,            0.036961,              0.3051,             0.69751,             0.42251,              0.1892,            0.046394,            0.015965,             0.03373,           0.0060004,           0.0060004,           0.0060004
                 103,            0.050161,            0.031648,             0.03728,             0.43914,             0.71319,             0.54806,             0.21666,            0.048588,             0.01498,            0.033463,           0.0059608,           0.0059608,           0.0059608
                 104,            0.050002,            0.036114,            0.033335,             0.43914,             0.71319,             0.54806,             0.21666,            0.048588,             0.01498,            0.033463,           0.0059212,           0.0059212,           0.0059212
                 105,            0.050005,            0.032937,            0.035067,             0.41561,              0.7675,             0.58433,             0.33074,            0.038281,            0.014725,            0.032799,           0.0058816,           0.0058816,           0.0058816
                 106,             0.04444,            0.037168,             0.03583,             0.41561,              0.7675,             0.58433,             0.33074,            0.038281,            0.014725,            0.032799,            0.005842,            0.005842,            0.005842
                 107,            0.042908,            0.031553,            0.034621,             0.41291,             0.75619,             0.58257,              0.2904,            0.042306,            0.013626,            0.032204,           0.0058024,           0.0058024,           0.0058024
                 108,            0.044408,            0.029712,            0.033808,             0.41291,             0.75619,             0.58257,              0.2904,            0.042306,            0.013626,            0.032204,           0.0057628,           0.0057628,           0.0057628
                 109,            0.048225,            0.031809,            0.035137,             0.37234,             0.81298,             0.55621,             0.25326,            0.040327,            0.014286,            0.032036,           0.0057232,           0.0057232,           0.0057232
                 110,            0.047429,            0.025121,            0.034548,             0.37234,             0.81298,             0.55621,             0.25326,            0.040327,            0.014286,            0.032036,           0.0056836,           0.0056836,           0.0056836
                 111,             0.04778,            0.025342,            0.034658,             0.35972,             0.71621,             0.55889,             0.35498,            0.039952,            0.014557,             0.03154,            0.005644,            0.005644,            0.005644
                 112,            0.047676,            0.032717,            0.033895,             0.35972,             0.71621,             0.55889,             0.35498,            0.039952,            0.014557,             0.03154,           0.0056044,           0.0056044,           0.0056044
                 113,            0.045549,            0.027105,             0.03219,             0.38939,              0.7454,             0.51171,             0.22581,            0.043437,            0.014904,              0.0317,           0.0055648,           0.0055648,           0.0055648
                 114,            0.046388,            0.027313,            0.034853,             0.38939,              0.7454,             0.51171,             0.22581,            0.043437,            0.014904,              0.0317,           0.0055252,           0.0055252,           0.0055252
                 115,            0.045177,            0.025989,            0.032151,             0.35904,             0.71206,             0.48389,             0.28009,            0.040854,             0.01569,            0.032028,           0.0054856,           0.0054856,           0.0054856
                 116,            0.045639,            0.024936,            0.033466,             0.35904,             0.71206,             0.48389,             0.28009,            0.040854,             0.01569,            0.032028,            0.005446,            0.005446,            0.005446
                 117,             0.04905,            0.032747,            0.031787,             0.32728,             0.65492,             0.47237,              0.2302,            0.042115,            0.015408,             0.03125,           0.0054064,           0.0054064,           0.0054064
                 118,            0.048413,            0.034899,            0.031684,             0.32728,             0.65492,             0.47237,              0.2302,            0.042115,            0.015408,             0.03125,           0.0053668,           0.0053668,           0.0053668
                 119,            0.046737,            0.025074,            0.032864,              0.4144,             0.68193,              0.6323,             0.42437,            0.037197,            0.013733,            0.030235,           0.0053272,           0.0053272,           0.0053272
                 120,            0.043275,            0.028716,            0.033429,              0.4144,             0.68193,              0.6323,             0.42437,            0.037197,            0.013733,            0.030235,           0.0052876,           0.0052876,           0.0052876
                 121,            0.039859,              0.0303,            0.031296,              0.4158,             0.74836,             0.59912,             0.36702,            0.036585,            0.013481,            0.029884,            0.005248,            0.005248,            0.005248
                 122,            0.040856,            0.030906,            0.031088,              0.4158,             0.74836,             0.59912,             0.36702,            0.036585,            0.013481,            0.029884,           0.0052084,           0.0052084,           0.0052084
                 123,            0.042187,            0.029138,            0.032213,             0.38874,             0.64381,              0.6282,             0.39265,            0.040012,            0.014225,            0.029716,           0.0051688,           0.0051688,           0.0051688
